NUM_PASAJEROS;ANIO;MES;DIA;EsEscolar;EsFestivo
108957;2018;7;18;0;0
109552;2018;7;19;0;0
107386;2018;7;20;0;0
67231;2018;7;21;0;0
55568;2018;7;22;0;0
103835;2018;7;23;0;0
104205;2018;7;24;0;0
109090;2018;7;25;0;0
105894;2018;7;26;0;0
104657;2018;7;27;0;0
67694;2018;7;28;0;0
55734;2018;7;29;0;0
106162;2018;7;30;0;0
105918;2018;7;31;0;0
104975;2018;8;1;0;0
104084;2018;8;2;0;0
103520;2018;8;3;0;0
67920;2018;8;4;0;0
54691;2018;8;5;0;0
101389;2018;8;6;0;0
101072;2018;8;7;0;0
102513;2018;8;8;0;0
101557;2018;8;9;0;0
105251;2018;8;10;0;0
68136;2018;8;11;0;0
54916;2018;8;12;0;0
98147;2018;8;13;0;0
104944;2018;8;14;0;0
71495;2018;8;15;0;1
104297;2018;8;16;0;0
96639;2018;8;17;0;0
65142;2018;8;18;0;0
52819;2018;8;19;0;0
99578;2018;8;20;0;0
99868;2018;8;21;0;0
99729;2018;8;22;0;0
98705;2018;8;23;0;0
100007;2018;8;24;0;0
68889;2018;8;25;0;0
55633;2018;8;26;0;0
102513;2018;8;27;0;0
101378;2018;8;28;0;0
100930;2018;8;29;0;0
99836;2018;8;30;0;0
102100;2018;8;31;0;0
68098;2018;9;1;0;0
54152;2018;9;2;0;0
109674;2018;9;3;0;0
109993;2018;9;4;0;0
109206;2018;9;5;0;0
106562;2018;9;6;0;0
112380;2018;9;7;0;0
68992;2018;9;8;0;0
52086;2018;9;9;0;0
113043;2018;9;10;0;0
113365;2018;9;11;0;0
119392;2018;9;12;1;0
116338;2018;9;13;1;0
109568;2018;9;14;1;0
71003;2018;9;15;1;0
55263;2018;9;16;1;0
119751;2018;9;17;1;0
117771;2018;9;18;1;0
120103;2018;9;19;1;0
118706;2018;9;20;1;0
120804;2018;9;21;1;0
72278;2018;9;22;1;0
54281;2018;9;23;1;0
121723;2018;9;24;1;0
128030;2018;9;25;1;0
126854;2018;9;26;1;0
124293;2018;9;27;1;0
126987;2018;9;28;1;0
75558;2018;9;29;1;0
55537;2018;9;30;1;0
127894;2018;10;1;1;0
127115;2018;10;2;1;0
128182;2018;10;3;1;0
127679;2018;10;4;1;0
137815;2018;10;5;1;0
75282;2018;10;6;1;0
56796;2018;10;7;1;0
125192;2018;10;8;1;0
125515;2018;10;9;1;0
127729;2018;10;10;1;0
135179;2018;10;11;1;0
65353;2018;10;12;1;1
72353;2018;10;13;1;0
51299;2018;10;14;1;0
125368;2018;10;15;1;0
132799;2018;10;16;1;0
128456;2018;10;17;1;0
121572;2018;10;18;1;0
126181;2018;10;19;1;0
70696;2018;10;20;1;0
52388;2018;10;21;1;0
123700;2018;10;22;1;0
126405;2018;10;23;1;0
124067;2018;10;24;1;0
100092;2018;10;25;1;0
127841;2018;10;26;1;0
71592;2018;10;27;1;0
47316;2018;10;28;1;0
127179;2018;10;29;1;0
128965;2018;10;30;1;0
134643;2018;10;31;1;0
57829;2018;11;1;1;1
121381;2018;11;2;1;0
73137;2018;11;3;1;0
56574;2018;11;4;1;0
130367;2018;11;5;1;0
129648;2018;11;6;1;0
131425;2018;11;7;1;0
131148;2018;11;8;1;0
129016;2018;11;9;1;0
79096;2018;11;10;1;0
57628;2018;11;11;1;0
124291;2018;11;12;1;0
127537;2018;11;13;1;0
127547;2018;11;14;1;0
127356;2018;11;15;1;0
138572;2018;11;16;1;0
66044;2018;11;17;1;0
54269;2018;11;18;1;0
127412;2018;11;19;1;0
129951;2018;11;20;1;0
124635;2018;11;21;1;0
115433;2018;11;22;1;0
130199;2018;11;23;1;0
80187;2018;11;24;1;0
65045;2018;11;25;1;0
134181;2018;11;26;1;0
134005;2018;11;27;1;0
133855;2018;11;28;1;0
132578;2018;11;29;1;0
134887;2018;11;30;1;0
87374;2018;12;1;1;0
65603;2018;12;2;1;0
136644;2018;12;3;1;0
135838;2018;12;4;1;0
139960;2018;12;5;1;0
66451;2018;12;6;1;1
117689;2018;12;7;1;0
75070;2018;12;8;1;1
64104;2018;12;9;1;0
137604;2018;12;10;1;0
135782;2018;12;11;1;0
135149;2018;12;12;1;0
134485;2018;12;13;1;0
136186;2018;12;14;1;0
84362;2018;12;15;1;0
65510;2018;12;16;1;0
133838;2018;12;17;1;0
133988;2018;12;18;1;0
133823;2018;12;19;1;0
133428;2018;12;20;1;0
131114;2018;12;21;1;0
82119;2018;12;22;1;0
67060;2018;12;23;1;0
74577;2018;12;24;0;0
36525;2018;12;25;0;1
114994;2018;12;26;0;0
117739;2018;12;27;0;0
119432;2018;12;28;0;0
83137;2018;12;29;0;0
68856;2018;12;30;0;0
82028;2018;12;31;0;0
41245;2019;1;1;0;0
117723;2019;1;2;0;0
121146;2019;1;3;0;0
124455;2019;1;4;0;0
94756;2019;1;5;0;0
44418;2019;1;6;0;0
74364;2019;1;7;0;0
137863;2019;1;8;1;0
135374;2019;1;9;1;0
136971;2019;1;10;1;0
136120;2019;1;11;1;0
82097;2019;1;12;1;0
60594;2019;1;13;1;0
135817;2019;1;14;1;0
133802;2019;1;15;1;0
135232;2019;1;16;1;0
126301;2019;1;17;1;0
128253;2019;1;18;1;0
76940;2019;1;19;1;0
59654;2019;1;20;1;0
127936;2019;1;21;1;0
128828;2019;1;22;1;0
130698;2019;1;23;1;0
128078;2019;1;24;1;0
136770;2019;1;25;1;0
82895;2019;1;26;1;0
60316;2019;1;27;1;0
134314;2019;1;28;1;0
131870;2019;1;29;1;0
131452;2019;1;30;1;0
131262;2019;1;31;1;0
136561;2019;2;1;1;0
79049;2019;2;2;1;0
60134;2019;2;3;1;0
135139;2019;2;4;1;0
137374;2019;2;5;1;0
137118;2019;2;6;1;0
138221;2019;2;7;1;0
139219;2019;2;8;1;0
83752;2019;2;9;1;0
64457;2019;2;10;1;0
140315;2019;2;11;1;0
139164;2019;2;12;1;0
141224;2019;2;13;1;0
139680;2019;2;14;1;0
127313;2019;2;15;1;0
74169;2019;2;16;1;0
61837;2019;2;17;1;0
130590;2019;2;18;1;0
136874;2019;2;19;1;0
137359;2019;2;20;1;0
136055;2019;2;21;1;0
139299;2019;2;22;1;0
